category_clean,rank_global,title,shop_name,source,price,price_tier,rating_filled,composite_score,discount_pct,available,nb_reviews,nb_variants,product_url
womens tops,151,Women's Waffle Crewneck Pullover (Lava),born_primitive,shopify,26.0,budget,4.7,0.9025,60.0,True,0,6,https://bornprimitive.com/products/womens-waffle-crewneck-pullover-lava
womens tops,155,Summit Crop Top (Electric Punch),born_primitive,shopify,16.8,budget,4.7,0.9018,65.0,True,0,6,https://bornprimitive.com/products/summit-crop-top-electric-punch
womens tops,190,Training Crop Tee (White),born_primitive,shopify,19.25,budget,4.7,0.8876,45.0,True,0,6,https://bornprimitive.com/products/training-crop-tee-white
womens tops,191,Floral Calligraphy Staple Tank (Sky Blue),born_primitive,shopify,24.75,budget,4.7,0.8876,45.0,True,0,6,https://bornprimitive.com/products/floral-calligraphy-staple-sky-blue
footwear,51,Women's Allday 365 (Ripstop),nobull,shopify,99.0,premium,4.7,0.962,34.0,True,0,13,https://nobullproject.com/products/womens-pine-allday-365
footwear,52,Women's Allday Knit,nobull,shopify,99.0,premium,4.7,0.962,34.0,True,0,13,https://nobullproject.com/products/womens-green-heather-allday-knit
footwear,53,Women's Outwork,nobull,shopify,99.0,premium,4.7,0.9608,33.6,True,0,13,https://nobullproject.com/products/womens-navy-gum-outwork
footwear,95,Men's Journey,nobull,shopify,119.0,premium,4.7,0.9221,20.1,True,0,19,https://nobullproject.com/products/mens-white-journey
footwear,97,Women's Journey,nobull,shopify,119.0,premium,4.7,0.9185,20.1,True,0,13,https://nobullproject.com/products/womens-night-navy-journey
footwear,368,247 Arc-2 Trainer - Flat White,represent,shopify,190.0,premium,4.8,0.8668,0.0,True,0,18,https://representclo.com/products/247-arc-2-trainer-flat-white
footwear,370,247 Arc-1 Runner - Flat White,represent,shopify,230.0,premium,4.8,0.8664,0.0,True,0,18,https://representclo.com/products/247-arc-1-runner-flat-white
footwear,381,HTN Low Distressed - Light Grey,represent,shopify,280.0,premium,4.8,0.8649,0.0,True,0,15,https://representclo.com/products/htn-low-distressed-light-grey
footwear,384,Represent 247 X Puma All-Pro Nitro 2 - Vapor Grey Puma Black,represent,shopify,140.0,premium,4.8,0.8644,0.0,True,0,13,https://representclo.com/products/represent-247-x-puma-all-pro-nitro-2-vapor-grey-puma-black
footwear,385,247 Arc-1 Runner Winter - Steel,represent,shopify,265.0,premium,4.8,0.8643,0.0,True,0,15,https://representclo.com/products/247-arc-1-runner-winter-steel
womens jeans,54,FLEX Stretchy Mid-Rise Boot Cut Jean (Black),born_primitive,shopify,54.0,mid_range,4.4,0.9587,40.0,True,0,18,https://bornprimitive.com/products/flex-stretchy-mid-rise-boot-cut-jean-black
womens jeans,357,FLEX Stretchy High-Rise Skinny Jean (White),born_primitive,shopify,90.0,premium,4.8,0.8703,0.0,True,0,18,https://bornprimitive.com/products/flex-stretchy-high-rise-skinny-jean-white
womens jeans,362,FLEX Stretchy Mid-Rise Skinny Jean (White),born_primitive,shopify,90.0,premium,4.8,0.8687,0.0,True,0,18,https://bornprimitive.com/products/flex-stretchy-mid-rise-skinny-jean-white
mens tops,57,Cabin Fleece (Black),born_primitive,shopify,23.0,budget,4.7,0.957,69.3,True,0,8,https://bornprimitive.com/products/fleece-pullover-black
mens tops,59,Men's Timber Jacket (Gunmetal),born_primitive,shopify,23.0,budget,4.7,0.9562,74.4,True,0,8,https://bornprimitive.com/products/the-mens-timber-jacket-gunmetal
mens tops,63,Grid Fleece Hoodie (Cool Grey),born_primitive,shopify,23.0,budget,4.7,0.9554,69.3,True,0,8,https://bornprimitive.com/products/grid-fleece-hoodie-cool-grey
mens tops,121,Cool Down Jacket (BP Navy),born_primitive,shopify,32.0,budget,4.7,0.9065,60.0,True,0,6,https://bornprimitive.com/products/cool-down-jacket-bp-navy
mens tops,123,Base Camp Quilted Vest (Elephant),born_primitive,shopify,32.0,budget,4.7,0.9057,60.0,True,0,6,https://bornprimitive.com/products/base-camp-quilted-vest-elephant
mens tops,145,BP Flag Tee (White/Red),born_primitive,shopify,15.36,budget,4.7,0.9027,52.0,True,0,6,https://bornprimitive.com/products/bp-flag-tee-white-red
mens tops,147,Athleisure Pocket Tank (Heather Grey),born_primitive,shopify,21.0,budget,4.7,0.9026,50.0,True,0,6,https://bornprimitive.com/products/athleisure-pocket-tank-heather-grey
mens tops,176,Athleisure Hoodie (Heather Grey),born_primitive,shopify,34.8,budget,4.7,0.8972,40.0,True,0,7,https://bornprimitive.com/products/athleisure-hoodie-heather-grey
mens tops,211,Athleisure Tee w/ Flag (Black),born_primitive,shopify,28.8,budget,4.7,0.8773,40.0,True,0,6,https://bornprimitive.com/products/athleisure-tee-w-flag-black
mens tops,236,Men's Endurance Shirt (Paloma Grey),born_primitive,shopify,33.0,budget,4.7,0.8749,40.0,True,0,6,https://bornprimitive.com/products/mens-endurance-shirt-paloma-grey
womens leggings,58,Inspire Legging (Gunmetal),born_primitive,shopify,46.8,mid_range,4.4,0.9567,40.0,True,0,12,https://bornprimitive.com/products/inspire-legging-gun-metal
womens leggings,65,Fleece Lined Legging (Deep Green),born_primitive,shopify,51.0,mid_range,4.4,0.9543,40.0,True,0,12,https://bornprimitive.com/products/fleece-lined-legging-deep-green
womens leggings,77,Yoga Pant Straight Leg (Blue Depths),born_primitive,shopify,46.8,mid_range,4.4,0.9527,40.0,True,0,12,https://bornprimitive.com/products/yoga-pant-straight-leg-blue-depths
womens leggings,369,Limitless Legging (BP Navy),born_primitive,shopify,48.0,mid_range,4.4,0.8667,20.0,True,0,9,https://bornprimitive.com/products/limitless-legging-bp-navy
womens leggings,433,Synergy Legging (Pebble),born_primitive,shopify,46.8,mid_range,4.4,0.8499,40.0,True,0,6,https://bornprimitive.com/products/synergy-legging-pebble
womens leggings,473,Synergy 7/8 Legging w/ Pockets 2.0 (Black),born_primitive,shopify,60.0,mid_range,4.4,0.8378,0.0,True,0,18,https://bornprimitive.com/products/synergy-7-8-legging-w-pockets-2-0-black
womens leggings,477,Synergy Full Length Legging w/ Pockets 2.0 (Black),born_primitive,shopify,60.0,mid_range,4.4,0.837,0.0,True,0,18,https://bornprimitive.com/products/synergy-full-length-legging-w-pockets-2-0-black
womens leggings,479,Synergy 7/8 Legging 2.0 (Black),born_primitive,shopify,60.0,mid_range,4.4,0.8362,0.0,True,0,18,https://bornprimitive.com/products/synergy-7-8-legging-2-0-black
womens leggings,480,Synergy Full Length Legging 2.0 (Black),born_primitive,shopify,60.0,mid_range,4.4,0.8362,0.0,True,0,18,https://bornprimitive.com/products/synergy-full-length-legging-2-0-black
womens leggings,489,Your Go To Legging 2.0 (BP Navy),born_primitive,shopify,60.0,mid_range,4.4,0.8334,0.0,True,0,12,https://bornprimitive.com/products/your-go-to-legging-2-0-bp-navy
unisex top,60,Woodsman Stretchy Flannel (Rancho),born_primitive,shopify,33.0,budget,4.7,0.9561,49.2,True,0,8,https://bornprimitive.com/products/woodsman-stretchy-flannel-rancho
unisex top,90,Unmatched Unisex Hoodie (Navy),born_primitive,shopify,42.0,budget,4.7,0.9236,40.0,True,0,8,https://bornprimitive.com/products/unmatched-unisex-hoodie-navy
unisex top,559,Sun Shirt w/ Velcro 2.0 (Black Multicam),born_primitive,shopify,89.0,premium,4.8,0.8143,0.0,True,0,8,https://bornprimitive.com/products/sun-shirt-w-velcro-2-0-black-multicam
unisex top,727,Sun Shirt 2.0 (Mossy Oak® Original Bottomland® 2025),born_primitive,shopify,69.0,mid_range,4.4,0.7841,0.0,True,0,8,https://bornprimitive.com/products/sun-shirt-2-0-mossy-oak®-original-bottomland®
unisex top,728,Hooded Woodsman Stretchy Flannel (Dusk),born_primitive,shopify,70.0,mid_range,4.4,0.7841,0.0,True,0,8,https://bornprimitive.com/products/hooded-woodsman-stretchy-flannel-dusk
unisex top,739,BDF Unmatched Unisex Hoodie (Pumice),born_primitive,shopify,70.0,mid_range,4.4,0.7809,0.0,True,0,8,https://bornprimitive.com/products/unmatched-unisex-hoodie-best-defense-foundation-pumice
unisex top,885,Woodsman Stretchy Corduroy (Gravel),born_primitive,shopify,21.0,budget,4.7,0.7586,70.0,False,0,8,https://bornprimitive.com/products/woodsman-stretchy-corduroy-gravel
unisex top,1325,Woodsman Stretchy Denim (Vintage Wash),born_primitive,shopify,56.0,mid_range,4.4,0.6442,20.0,False,0,8,https://bornprimitive.com/products/woodsman-stretchy-denim-vintage-wash
mens shoes,62,Men's Savage 1 (Navy/Maroon),born_primitive,shopify,83.4,mid_range,4.4,0.9557,40.0,True,0,15,https://bornprimitive.com/products/mens-savage-1-navy-maroon
mens shoes,365,Men's Patriot 1 Mid-Assault Boot (Desert Tan),born_primitive,shopify,199.0,premium,4.8,0.8673,0.0,True,0,15,https://bornprimitive.com/products/mens-patriot-1-desert-tan
mens shoes,366,Men's Savage 1 High Top (Cloud/Black),born_primitive,shopify,149.0,premium,4.8,0.8671,0.0,True,0,15,https://bornprimitive.com/products/mens-savage-1-high-top-cloud-black
mens shoes,367,Men's Savage 1 Classic (White/Gum),born_primitive,shopify,145.0,premium,4.8,0.8671,0.0,True,0,15,https://bornprimitive.com/products/mens-savage-1-classic-white-gum
womens shoes,64,Women's Savage 1 (Black/Viola),born_primitive,shopify,83.4,mid_range,4.4,0.9545,40.0,True,0,13,https://bornprimitive.com/products/womens-savage-1-black-viola
womens shoes,374,Women's Savage 1 Classic (White/Gum),born_primitive,shopify,145.0,premium,4.8,0.8659,0.0,True,0,13,https://bornprimitive.com/products/womens-savage-1-classic-white-gum
womens shoes,375,Women's Savage 1 High Top (Ultra Pink),born_primitive,shopify,149.0,premium,4.8,0.8659,0.0,True,0,13,https://bornprimitive.com/products/womens-savage-1-high-top-ultra-pink
apparel,67,Men's Jogger,nobull,shopify,55.0,mid_range,4.7,0.9535,49.5,True,0,8,https://nobullproject.com/products/mens-jogger-black
apparel,83,Women's Deltapeak® Micro Textured Tee,nobull,shopify,24.0,budget,4.7,0.9298,50.0,True,0,7,https://nobullproject.com/products/womens-deltapeak-micro-textured-tee-black
apparel,84,Women's Deltapeak® Micro Textured Tank,nobull,shopify,21.0,budget,4.7,0.929,50.0,True,0,7,https://nobullproject.com/products/womens-deltapeak-micro-textured-tank-black
apparel,126,"Women's High-Rise Short 6""",nobull,shopify,29.0,budget,4.7,0.9049,50.0,True,0,6,https://nobullproject.com/products/womens-high-rise-short-6-dark-army
apparel,127,"Men's Light Lined Short 7""",nobull,shopify,36.0,budget,4.7,0.9048,50.0,True,0,6,https://nobullproject.com/products/mens-light-lined-short-7-vapor
apparel,128,"Women's High-Rise Tight 21""",nobull,shopify,39.0,budget,4.7,0.9048,50.0,True,0,6,https://nobullproject.com/products/womens-high-rise-tight-21-midnight-heather
apparel,129,"Women's High-Rise Tight 25""",nobull,shopify,39.0,budget,4.7,0.9048,50.0,True,0,6,https://nobullproject.com/products/womens-high-rise-tight-25-midnight-heather
apparel,136,"Men's Lightweight Knit Short 9""",nobull,shopify,29.0,budget,4.7,0.9041,50.0,True,0,6,https://nobullproject.com/products/mens-lightweight-knit-short-9-black
apparel,137,"Women's High-Rise Short 2""",nobull,shopify,29.0,budget,4.7,0.9041,50.0,True,0,6,https://nobullproject.com/products/womens-high-rise-short-2-night-navy
apparel,138,"Men's Textured Knit Short 7""",nobull,shopify,29.0,budget,4.7,0.9041,50.0,True,0,6,https://nobullproject.com/products/mens-textured-knit-short-7-vapor
