title,shop_name,source,category_clean,price,price_tier,rating_filled,nb_reviews,composite_score,discount_pct,cluster_kmeans,cluster_dbscan,is_anomaly,pca_x,pca_y
247 Arc-1 Runner - Flat White,represent,shopify,footwear,230.0,premium,4.8,0,0.834,0.0,2,-1,1,3.3375314290580564,1.1164079080621363
Men's Patriot 1 Mid-Assault Boot (Desert Tan),born_primitive,shopify,mens shoes,199.0,premium,4.8,0,0.834,0.0,2,-1,1,2.8934292044400154,1.0428052153178635
Free Returns + Package Protection,cuts_clothing,shopify,returnpackageprotection,1.98,budget,4.7,0,0.826,0.0,2,-1,1,2.4540344117254187,-0.5033273146861501
Men's Outwork High-Top,nobull,shopify,footwear,170.0,premium,4.7,0,0.826,0.0,2,-1,1,3.173919750481761,0.40433998624153195
Shipping Protection,ten_thousand,shopify,delivery guarantee,2.98,budget,4.7,0,0.826,0.0,2,-1,1,2.4575064026892517,-0.49788347763789936
Physical Gift Card,born_primitive,shopify,gift cards,10.0,budget,4.7,0,0.826,0.0,2,-1,1,1.0896920565464456,-0.1600174517011924
Men's Outwork Edge High-Top,nobull,shopify,footwear,170.0,premium,4.7,0,0.826,0.0,2,-1,1,2.587006274868352,0.5232060544927718
Men's Drive Ripstop,nobull,shopify,footwear,150.0,premium,4.7,0,0.826,0.0,2,-1,1,3.022640576736174,0.3503751987126238
Public Rec Men's Dealmaker Chino+ Short,nobull,shopify,apparel,88.0,premium,4.7,0,0.826,0.0,2,-1,1,1.2786679972564687,0.31951379149846837
A—L Boxer,ten_thousand,shopify,al boxer,38.0,budget,4.7,0,0.826,0.0,2,-1,1,3.684753638636619,-0.47808404889535755
Public Rec Men's Gamechanger 5-Pocket Short,nobull,shopify,apparel,88.0,premium,4.7,0,0.826,0.0,2,-1,1,1.4015188986335738,0.3005311531998908
Men's Leather Golf Shoe,nobull,shopify,footwear,170.0,premium,4.7,0,0.826,0.0,2,-1,1,2.60067679050441,0.535182492871948
Men's Drive 2,nobull,shopify,footwear,150.0,premium,4.7,0,0.826,0.0,2,-1,1,2.7906092896180223,0.40031691368895495
Men's Ripstop Golf Shoe,nobull,shopify,footwear,150.0,premium,4.7,0,0.826,0.0,2,-1,1,2.7906092896180223,0.40031691368895495
Email Gift Card,born_primitive,shopify,gift cards,10.0,budget,4.7,0,0.826,0.0,2,-1,1,0.6256294823101415,-0.060134021748529956
Super Stretchy,goat_tape,shopify,crossfit,9.99,budget,5.0,0,0.825,0.0,2,-1,1,1.1482127052573634,1.0027400383303517
2 x Initial Oversized T-Shirt - Flat White & Black,represent,shopify,bundle,153.0,premium,4.8,0,0.804,15.0,2,-1,1,0.982740789519768,0.722450674477394
2 x Initial T-Shirt - Flat White,represent,shopify,bundle,153.0,premium,4.8,0,0.804,15.0,2,-1,1,0.982740789519768,0.722450674477394
2 x Initial Boxy T-Shirt - Flat White & Black,represent,shopify,bundle,153.0,premium,4.8,0,0.804,15.0,2,-1,1,0.982740789519768,0.722450674477394
Men's Featherbed Insole - Dasher NZ - Medium Grey,allbirds,shopify,accessories,20.0,budget,4.4,0,0.802,0.0,3,-1,1,1.3352642409182933,-1.2350789657307937
Digital Gift Card,allbirds,shopify,gift cards,15.0,budget,4.4,0,0.802,0.0,3,-1,1,0.4028966645387172,-1.0813448066006133
Dan-O’s Classic Logo Tee,danosseasoning,woocommerce,merchandise,12.47,budget,4.7,0,0.801,50.0,1,-1,1,-1.433295756204573,-1.119100709613406
Scary Sticky Wholesale,goat_tape,shopify,bulk,164.0,premium,5.0,0,0.8,0.0,2,-1,1,1.441973398963009,1.8933661228260124
AO Button Up | Capers Signature-Fit PYCA Pro®,cuts_clothing,shopify,shirts,48.0,mid_range,4.4,0,0.7769,33.3,3,-1,1,-0.9301503410842329,-1.6103170846684542
Dan-O’s Seasoning White Logo Athletic Tee,danosseasoning,woocommerce,merchandise,12.47,budget,4.7,0,0.776,50.0,1,-1,1,-1.6653270433227252,-1.0691589946370748
Recover Short | 7-inch,ten_thousand,shopify,recover shorts,39.0,budget,4.7,0,0.776,50.0,1,-1,1,3.7090061574684383,-1.9945286120081427
FLEX Recon Mid-Rise Skinny Jean (Dark Wash),born_primitive,shopify,womens tactical bottoms,30.0,budget,4.7,0,0.776,66.7,1,-1,1,3.097785459488442,-2.4329678028449457
SET X PARKE COTTON V-NECK SWEATER - CREAM,set_active,shopify,outerwear,122.5,premium,4.8,0,0.749,30.0,1,-1,1,-0.5483553271858752,0.37858323851472253
SET X PARKE COTTON CREWNECK - CREAM,set_active,shopify,outerwear,122.5,premium,4.8,0,0.749,30.0,1,-1,1,-0.6712062285629801,0.3975658768133001
R and R Waffle Lounge Pant (Stucco),born_primitive,shopify,womens pant,36.0,budget,4.7,0,0.746,40.0,2,-1,1,3.1075206033899336,-1.5876163748694476
Pillow Puffer - Jet Black,represent,shopify,outerwear,540.0,premium,4.8,0,0.734,0.0,2,-1,1,1.9623084964953628,3.3554661607130494
Overdrive Suede Jacket - Beige,represent,shopify,outerwear,1370.0,premium,4.8,0,0.734,0.0,2,-1,1,4.721210095099442,7.892833549059713
NOBULL Boonie Hat,nobull,shopify,accessories,25.0,budget,4.7,0,0.7118,28.6,0,-1,1,-1.507866161096294,-0.36856211945214773
Scary Sticky,goat_tape,shopify,combat sports,18.99,budget,5.0,0,0.7,0.0,2,-1,1,-0.02534254923932419,1.3128382752374548
