antecedents,consequents,support,confidence,lift,leverage,conviction
"prix_premium, score_excellent",bcp_variants,0.0799,1.0,1.7142,0.0333,inf
"bcp_images, en_promo, prix_budget, score_excellent",dispo,0.0744,1.0,1.3406,0.0189,inf
"bcp_images, bcp_variants, en_promo, note_haute, prix_budget, score_excellent",dispo,0.0688,1.0,1.3406,0.0175,inf
"bcp_variants, en_promo, prix_budget, score_excellent",dispo,0.0947,1.0,1.3406,0.0241,inf
"dispo, note_haute, prix_budget, score_faible",peu_images,0.0855,1.0,3.7652,0.0628,inf
"bcp_images, note_haute, prix_budget, score_excellent",dispo,0.0721,1.0,1.3406,0.0183,inf
"dispo, note_haute, prix_budget, score_faible",peu_variants,0.0855,1.0,2.4002,0.0498,inf
"bcp_images, peu_variants, sans_promo, score_bon",dispo,0.0887,1.0,1.3406,0.0225,inf
"dispo, peu_images, sans_promo, score_faible",peu_variants,0.1012,1.0,2.4002,0.059,inf
"dispo, peu_images, peu_variants, score_faible",sans_promo,0.1012,1.0,1.5553,0.0361,inf
"bcp_images, bcp_variants, sans_promo, score_excellent",dispo,0.0633,1.0,1.3406,0.0161,inf
"bcp_images, dispo, sans_promo, score_excellent",bcp_variants,0.0633,1.0,1.7142,0.0264,inf
"bcp_images, sans_promo, score_excellent","bcp_variants, dispo",0.0633,1.0,2.463,0.0376,inf
"note_haute, score_excellent",dispo,0.1598,1.0,1.3406,0.0406,inf
"bcp_images, bcp_variants, en_promo, note_moyenne, score_excellent",dispo,0.06,1.0,1.3406,0.0153,inf
"en_promo, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0527,1.0,1.7142,0.0219,inf
"bcp_images, dispo, en_promo, note_moyenne, score_excellent",bcp_variants,0.06,1.0,1.7142,0.025,inf
"bcp_images, en_promo, note_moyenne, score_excellent","bcp_variants, dispo",0.06,1.0,2.463,0.0357,inf
"en_promo, note_moyenne, prix_mid, score_excellent",dispo,0.0527,1.0,1.3406,0.0134,inf
"dispo, prix_budget, score_faible","peu_images, peu_variants",0.0859,1.0,4.6963,0.0676,inf
"dispo, peu_variants, prix_budget, score_faible",peu_images,0.0859,1.0,3.7652,0.0631,inf
"dispo, peu_images, prix_budget, score_faible",peu_variants,0.0859,1.0,2.4002,0.0501,inf
"bcp_images, bcp_variants, prix_budget, score_excellent",dispo,0.0739,1.0,1.3406,0.0188,inf
"bcp_images, bcp_variants, indispo, prix_premium, score_faible",sans_promo,0.085,1.0,1.5553,0.0303,inf
"bcp_images, bcp_variants, prix_premium, score_faible","indispo, sans_promo",0.085,1.0,5.3457,0.0691,inf
"bcp_images, bcp_variants, en_promo, score_excellent",dispo,0.1492,1.0,1.3406,0.0379,inf
"bcp_images, bcp_variants, note_moyenne, score_excellent",dispo,0.0818,1.0,1.3406,0.0208,inf
"bcp_images, dispo, note_moyenne, score_excellent",bcp_variants,0.0818,1.0,1.7142,0.0341,inf
"bcp_images, note_moyenne, score_excellent","bcp_variants, dispo",0.0818,1.0,2.463,0.0486,inf
"bcp_images, bcp_variants, indispo, prix_premium, score_faible","note_haute, sans_promo",0.085,1.0,2.0367,0.0433,inf
"bcp_images, bcp_variants, note_haute, prix_premium, score_faible","indispo, sans_promo",0.085,1.0,5.3457,0.0691,inf
"bcp_images, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0582,1.0,1.7142,0.0242,inf
"bcp_images, note_moyenne, prix_mid, score_excellent",dispo,0.0582,1.0,1.3406,0.0148,inf
"bcp_variants, note_moyenne, prix_mid, score_excellent",dispo,0.0591,1.0,1.3406,0.015,inf
"dispo, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0591,1.0,1.7142,0.0246,inf
"note_moyenne, prix_mid, score_excellent","bcp_variants, dispo",0.0591,1.0,2.463,0.0351,inf
"note_haute, prix_budget, score_excellent",dispo,0.0975,1.0,1.3406,0.0248,inf
"dispo, peu_images, score_faible","peu_variants, sans_promo",0.1012,1.0,3.5376,0.0726,inf
"bcp_images, bcp_variants, sans_promo, score_faible",indispo,0.1113,1.0,3.9364,0.083,inf
"bcp_images, peu_variants, prix_mid, score_bon",dispo,0.0605,1.0,1.3406,0.0154,inf
"dispo, peu_variants, prix_premium, sans_promo",note_haute,0.0591,1.0,1.379,0.0162,inf
"bcp_images, bcp_variants, prix_mid, score_excellent",dispo,0.0596,1.0,1.3406,0.0151,inf
"bcp_images, en_promo, note_moyenne, score_excellent",bcp_variants,0.06,1.0,1.7142,0.025,inf
"bcp_variants, en_promo, note_moyenne, score_excellent",dispo,0.0619,1.0,1.3406,0.0157,inf
"bcp_images, en_promo, note_moyenne, score_excellent",dispo,0.06,1.0,1.3406,0.0153,inf
"dispo, note_haute, peu_images, score_faible",peu_variants,0.091,1.0,2.4002,0.0531,inf
"dispo, note_haute, score_faible","peu_images, peu_variants",0.091,1.0,4.6963,0.0716,inf
"bcp_images, bcp_variants, note_haute, score_faible",indispo,0.091,1.0,3.9364,0.0679,inf
"dispo, note_haute, peu_variants, score_faible",peu_images,0.091,1.0,3.7652,0.0668,inf
"bcp_images, bcp_variants, note_haute, score_excellent",dispo,0.1307,1.0,1.3406,0.0332,inf
