rank,title,shop_name,source,category_clean,price,price_tier,discount_pct,rating_filled,has_rating,nb_reviews,nb_variants,available,popularity_score,catalogue_richness,composite_score,product_url
25,Better Than Basic Bundle | Black & White Slim-Fit Tomboy-Cotton™,cuts_clothing,shopify,womens tops,65.0,mid_range,39.8,4.4,0,0,36,True,22.0,0.76,0.9559,https://cutsclothing.com/products/better-than-basic-kit
26,Men's Savage 1 (Navy/Maroon),born_primitive,shopify,mens shoes,83.4,mid_range,40.0,4.4,0,0,15,True,16.5,0.73,0.9557,https://bornprimitive.com/products/mens-savage-1-navy-maroon
27,Men's Jogger,nobull,shopify,apparel,55.0,mid_range,49.5,4.7,1,0,8,True,9.4,0.48,0.9535,https://nobullproject.com/products/mens-jogger-black
28,SET X PARKE HORSESHOE JEANS - RHUBARB,set_active,shopify,outerwear,133.0,premium,30.0,4.8,0,0,10,True,12.0,0.54,0.9534,https://setactive.co/products/set-x-parke-horseshoe-jeans-rhubarb
29,Women's Deltapeak® Micro Textured Tee,nobull,shopify,apparel,24.0,budget,50.0,4.7,1,0,7,True,8.225,0.45,0.9298,https://nobullproject.com/products/womens-deltapeak-micro-textured-tee-black
30,Women's Deltapeak® Micro Textured Tank,nobull,shopify,apparel,21.0,budget,50.0,4.7,1,0,7,True,8.225,0.41,0.929,https://nobullproject.com/products/womens-deltapeak-micro-textured-tank-black
31,Men's Journey,nobull,shopify,footwear,119.0,premium,20.1,4.7,1,0,19,True,22.325,0.85,0.9221,https://nobullproject.com/products/mens-white-journey
32,Women's Journey,nobull,shopify,footwear,119.0,premium,20.1,4.7,1,0,13,True,15.275,0.67,0.9185,https://nobullproject.com/products/womens-night-navy-journey
33,GOAT Bundle,goat_tape,shopify,unknown,19.99,budget,28.0,5.0,1,0,8,True,10.0,0.48,0.9134,https://www.goattape.com/products/gt-bundle
34,"Women's High-Rise Short 6""",nobull,shopify,apparel,29.0,budget,50.0,4.7,1,0,6,True,7.05,0.46,0.9049,https://nobullproject.com/products/womens-high-rise-short-6-dark-army
35,"Men's Light Lined Short 7""",nobull,shopify,apparel,36.0,budget,50.0,4.7,1,0,6,True,7.05,0.46,0.9048,https://nobullproject.com/products/mens-light-lined-short-7-vapor
36,BREATHE SHORTS - CANOE,set_active,shopify,activewear bottom,24.8,budget,60.0,4.7,0,0,6,True,7.05,0.34,0.9026,https://setactive.co/products/breathe-shorts-canoe
37,BREATHE STRIKE MINI SKIRT - REF,set_active,shopify,activewear bottom,31.0,budget,50.0,4.7,0,0,6,True,7.05,0.34,0.9025,https://setactive.co/products/breathe-strike-mini-skirt-ref
38,BREATHE HIGH-RISE LEGGINGS - SNAPPER,set_active,shopify,activewear bottom,29.6,budget,60.0,4.7,0,0,6,True,7.05,0.34,0.9025,https://setactive.co/products/breathe-high-rise-leggings-snapper
39,SPORTBODY® SPORTY DUO STRIPE SHORTS - LAKE,set_active,shopify,activewear bottom,33.5,budget,50.0,4.7,0,0,6,True,7.05,0.34,0.9025,https://setactive.co/products/sportbody-sporty-duo-stripe-shorts-lake
40,Super Stretchy Wholesale,goat_tape,shopify,bulk,112.0,premium,0.0,5.0,1,0,32,True,25.0,1.0,0.8888,https://www.goattape.com/products/super-stretchy-wholesale
41,LIGHTWEIGHT SWEATS CLASSIC VINTAGE SWEAT SHORTS - ONYX,set_active,shopify,sweats bottom,24.0,budget,60.0,4.7,0,0,5,True,5.875,0.39,0.8786,https://setactive.co/products/lightweight-sweats-classic-sweat-shorts-onyx
42,SPORTBODY® (BLOOPERS) SPORTY PIPE LEGGINGS - LOTUS,set_active,shopify,activewear bottom,24.0,budget,60.0,4.7,0,0,5,True,5.875,0.31,0.877,https://setactive.co/products/sportbody-bloopers-sporty-pipe-leggings-lotus
43,SCULPTFLEX® POWER SHORTS - GENESIS,set_active,shopify,activewear bottom,23.6,budget,60.0,4.7,0,0,5,True,5.875,0.27,0.8762,https://setactive.co/products/sculptflex-power-shorts-genesis
44,Foundation Short | 7-inch,ten_thousand,shopify,foundation short,88.0,premium,0.0,4.8,0,0,30,True,24.0,1.0,0.8731,https://www.tenthousand.cc/products/foundation-short
45,Interval Long Sleeve Shirt,ten_thousand,shopify,interval shirt,88.0,premium,0.0,4.8,0,0,48,True,24.0,1.0,0.8731,https://www.tenthousand.cc/products/interval-long-sleeve-shirt
46,Rep Short | 7-inch,ten_thousand,shopify,rep short,98.0,premium,0.0,4.8,0,0,54,True,24.0,1.0,0.873,https://www.tenthousand.cc/products/rep-short
47,Session Short | 7-inch,ten_thousand,shopify,session short 20,98.0,premium,0.0,4.8,0,0,108,True,24.0,1.0,0.873,https://www.tenthousand.cc/products/session-short
48,Interval Short | 5-inch,ten_thousand,shopify,interval short,98.0,premium,0.0,4.8,0,0,239,True,24.0,1.0,0.873,https://www.tenthousand.cc/products/interval-short-5-inch
49,Interval Short | 7-inch,ten_thousand,shopify,interval short,98.0,premium,0.0,4.8,0,0,250,True,24.0,1.0,0.873,https://www.tenthousand.cc/products/interval-short
50,Tactical Short | 7-inch,ten_thousand,shopify,tactical short,108.0,premium,0.0,4.8,0,0,117,True,24.0,1.0,0.8729,https://www.tenthousand.cc/products/tactical-short
